semana,indice,id,titulo,descricao,tipo,texto_completo,links,materiais,arquivos
Semana 07,17,9db90257dc054f3d9801378a42a21f5c,Faça a questão ponderada referente à análise de componentes principais.,"Nota: 0.0








Luciano Galdino

Atividade ponderada",Atividade,"Faça a questão ponderada referente à análise de componentes principais.

Nota: 0.0








Luciano Galdino

Atividade ponderada",,,
Semana 07,18,29d146a5b92b4c2c9b52948c01e4230a,Teoria: Teoria de Matrizes e Autovalores,Luciano Galdino,Outros,"Teoria: Teoria de Matrizes e Autovalores








Luciano Galdino",,,
Semana 07,19,d103009e1ce64f9ea7d3a1862780e9dd,"Vídeo 1: Vetores, o que são eles afinal? (por 3Blue1Brown)",Luciano Galdino,Outros,"Vídeo 1: Vetores, o que são eles afinal? (por 3Blue1Brown)








Luciano Galdino",,,
Semana 07,20,400eb22aa8b34c51959b0fff452e31f5,Vídeo 2: Autovetores e autovalores - A essência da Álgebra Linear (por 3Blue1Brown,Luciano Galdino,Outros,"Vídeo 2: Autovetores e autovalores - A essência da Álgebra Linear (por 3Blue1Brown








Luciano Galdino",,,
Semana 08,1,cea8115fc9054aa48e98d7685fc15348,Boas práticas para arquiteturas orientadas a serviço na nuvem,"09/06/2025 - 14:00h








Afonso Cesar Lelis Brandão",Outros,"Boas práticas para arquiteturas orientadas a serviço na nuvem








09/06/2025 - 14:00h








Afonso Cesar Lelis Brandão",,,
Semana 08,2,ae71150942654ef49223aca3b40c2a6e,Práticas recomendadas para desenvolver arquiteturas orientadas por eventos em sua organização,Afonso Cesar Lelis Brandão,Outros,"Práticas recomendadas para desenvolver arquiteturas orientadas por eventos em sua organização








Afonso Cesar Lelis Brandão",,,
Semana 08,3,27381662b24b409788a3e60a743acfbc,Implemente Estratégias Multi-Cloud,Afonso Cesar Lelis Brandão,Outros,"Implemente Estratégias Multi-Cloud








Afonso Cesar Lelis Brandão",,,
Semana 08,4,f46de116ea7e4da7a84bc330ac434b60,Garanta Segurança e Conformidade,Afonso Cesar Lelis Brandão,Outros,"Garanta Segurança e Conformidade








Afonso Cesar Lelis Brandão",,,
Semana 08,5,4028f78a04aa47cbacc28d16afca3d5c,Gestão de Relacionamento e Customer Experience,"10/06/2025 - 14:00h








Rafael Ricardo Jacomossi",Outros,"Gestão de Relacionamento e Customer Experience








10/06/2025 - 14:00h








Rafael Ricardo Jacomossi",,,
Semana 08,6,9ff4eb8fb89d45dabef01d7640c9fefa,O que é CRM ?,Rafael Ricardo Jacomossi,Outros,"O que é CRM ?








Rafael Ricardo Jacomossi",,,
Semana 08,7,42cc37f247a54195a1a21f42df51c650,Como aproximar o cliente das empresas,Rafael Ricardo Jacomossi,Outros,"Como aproximar o cliente das empresas








Rafael Ricardo Jacomossi",,,
Semana 08,8,cbd835afda8641fc9994a3ceb4917dc6,"Inteligência artificial, CRM e a nova experiência do consumidor",Rafael Ricardo Jacomossi,Outros,"Inteligência artificial, CRM e a nova experiência do consumidor








Rafael Ricardo Jacomossi",,,
Semana 08,9,611b24dffae34f7e8dd064b6179a6415,Como gerenciar o relacionamento com o cliente?,Rafael Ricardo Jacomossi,Outros,"Como gerenciar o relacionamento com o cliente?








Rafael Ricardo Jacomossi",,,
Semana 08,10,6b97b5cb06dd4a81a04972d61d693f92,Negociação: eu e o outro,"11/06/2025 - 14:00h








Filipe Gonçalves de Souza Nogueira da Silva",Outros,"Negociação: eu e o outro








11/06/2025 - 14:00h








Filipe Gonçalves de Souza Nogueira da Silva",,,
Semana 08,11,cbcea489b30742a4bad5177d11f2ef52,Encontro de orientação,12/06/2025 - 14:00h,Outros,"Encontro de orientação








12/06/2025 - 14:00h",,,
Semana 08,12,c28490e6b129473e94f1afc4cc3d61b9,Sprint Review e Retrospective 4,13/06/2025 - 14:00h,Outros,"Sprint Review e Retrospective 4








13/06/2025 - 14:00h",,,
Semana 08,13,a28acb0da24740799e48534ce4576650,Negociação é uma dança,Filipe Gonçalves de Souza Nogueira da Silva,Outros,"Negociação é uma dança








Filipe Gonçalves de Souza Nogueira da Silva",,,
Semana 08,14,a8717966c447419fbdf648c4e41c5582,O caminho entre o não e o sim,Filipe Gonçalves de Souza Nogueira da Silva,Outros,"O caminho entre o não e o sim








Filipe Gonçalves de Souza Nogueira da Silva",,,
Semana 08,15,b2fb54354bff4289a0bac25db49d129a,Questão de Negócios Parte 3,"Nota: 10.0








Rafael Ricardo Jacomossi

Atividade ponderada",Atividade,"Questão de Negócios Parte 3

Nota: 10.0








Rafael Ricardo Jacomossi

Atividade ponderada",,,
Semana 08,16,59d66e48295e4a06b8ce7e3b703693a5,Comunicação e negociação: conceitos e práticas organizacionais,"Nota: 6.5








Filipe Gonçalves de Souza Nogueira da Silva

Atividade ponderada",Atividade,"Comunicação e negociação: conceitos e práticas organizacionais

Nota: 6.5








Filipe Gonçalves de Souza Nogueira da Silva

Atividade ponderada",,,
Semana 08,17,21387a9b35d940c49f591efc6235aa29,DESENVOLVIMENTO DO PROJETO,"Nota: 4.9

Atividade ponderada",Atividade,"DESENVOLVIMENTO DO PROJETO

Nota: 4.9

Atividade ponderada",,,
Semana 08,18,6f0224920e2147bd9493f809b11f00cd,EVOLUÇÃO DO BANCO DE DADOS,"Nota: 5.3

Atividade ponderada",Atividade,"EVOLUÇÃO DO BANCO DE DADOS

Nota: 5.3

Atividade ponderada",,,
Semana 08,19,743eb77b05c0403fab98e3e945bfca3e,EXECUÇÃO DE TESTES,"Nota: 5.4

Atividade ponderada",Atividade,"EXECUÇÃO DE TESTES

Nota: 5.4

Atividade ponderada",,,
Semana 08,20,7560834dbebc4e858fc490f4a033911f,GESTÃO DE PROJETOS EVOLUTIVA,"Nota: 4.2

Atividade ponderada",Atividade,"GESTÃO DE PROJETOS EVOLUTIVA

Nota: 4.2

Atividade ponderada",,,
Semana 09,1,7bc70712d1f84d498d6448bf5dbcd0d2,Sprint Planning 5 e Demonstração de Aprendizagem,16/06/2025 - 14:00h,Outros,"Sprint Planning 5 e Demonstração de Aprendizagem








16/06/2025 - 14:00h",,,
Semana 09,2,4b14779cb55d47e49c6770fef2979f53,Segurança em sistemas distribuídos: Princípios de segurança aplicados a serviços na nuvem e APIs,"17/06/2025 - 14:00h








Afonso Cesar Lelis Brandão",Outros,"Segurança em sistemas distribuídos: Princípios de segurança aplicados a serviços na nuvem e APIs








17/06/2025 - 14:00h








Afonso Cesar Lelis Brandão",,,
Semana 09,3,8f779a6764cd47ca9dab5925784ad576,Security of Microservice Applications: A Practitioners' Perspective on Challenges and Best Practices,Afonso Cesar Lelis Brandão,Outros,"Security of Microservice Applications: A Practitioners' Perspective on Challenges and Best Practices








Afonso Cesar Lelis Brandão",,,
Semana 09,4,f4bb8bdd55234fd590cb9643ea8a268f,Categorização dos Desafios de Segurança em Nuvem Relacionados à Virtualização,Afonso Cesar Lelis Brandão,Outros,"Categorização dos Desafios de Segurança em Nuvem Relacionados à Virtualização








Afonso Cesar Lelis Brandão",,,
Semana 09,5,e88176e836a249fca880cb6e4d4b1e8e,Autoavaliação,"Nota: 10.0

Atividade ponderada",Atividade,"Autoavaliação

Nota: 10.0

Atividade ponderada",,,
Semana 09,6,141849e1ef6e48108719f8f08af68da0,Autoavaliação do grupo,,Avaliação,Autoavaliação do grupo,,,
Semana 09,7,5937eb8aaaaf4259ba58c518b6fcd58a,Avaliação em pares,"Nota: 6.8

Atividade ponderada",Atividade,"Avaliação em pares

Nota: 6.8

Atividade ponderada",,,
Semana 09,8,bebcbb175433443cbefb43fdfd1603ed,Avaliação geral,,Avaliação,Avaliação geral,,,
Semana 09,9,b4566217dcd349c2ba2c2fb1712b7cd3,Prova do Módulo,"Nota: 8.2








18/06/2025 - 14:00h

Atividade ponderada",Atividade,"Prova do Módulo

Nota: 8.2








18/06/2025 - 14:00h

Atividade ponderada",,,
Semana 10,1,f0fdb690168043ac99bdabd7b0c55e5d,Encontro de Orientação,23/06/2025 - 14:00h,Outros,"Encontro de Orientação








23/06/2025 - 14:00h",,,
Semana 10,2,b9e900bae05f47a184a770d11c342087,Novos modelos: marketplace e two sided marked,"24/06/2025 - 14:00h








Rafael Ricardo Jacomossi",Outros,"Novos modelos: marketplace e two sided marked








24/06/2025 - 14:00h








Rafael Ricardo Jacomossi",,,
Semana 10,3,1d57f8f351a64c08abe65369cf46a77f,Two-Sided Market: Definition and Examples,Rafael Ricardo Jacomossi,Outros,"Two-Sided Market: Definition and Examples








Rafael Ricardo Jacomossi",,,
Semana 10,4,9dd37047b644483b9b641b5a7b7a7b15,Prime Day and the broad reach of Amazon's ecosystem,Rafael Ricardo Jacomossi,Outros,"Prime Day and the broad reach of Amazon's ecosystem








Rafael Ricardo Jacomossi",,,
Semana 10,5,c33c99a24671437bb94257a8e5ed7e03,O que é omnichannel?,Rafael Ricardo Jacomossi,Outros,"O que é omnichannel?








Rafael Ricardo Jacomossi",,,
Semana 10,6,c0aab878ab844a4a8441e041bb35a714,"Argumentação, falácias e correlações espúrias","25/06/2025 - 14:00h








Filipe Gonçalves de Souza Nogueira da Silva",Outros,"Argumentação, falácias e correlações espúrias








25/06/2025 - 14:00h








Filipe Gonçalves de Souza Nogueira da Silva",,,
Semana 10,7,af4436d625f7471e8da0dd90a42d841c,O que é um argumento?,Filipe Gonçalves de Souza Nogueira da Silva,Outros,"O que é um argumento?








Filipe Gonçalves de Souza Nogueira da Silva",,,
Semana 10,8,c47ab7b844564fe1b64e92fb22e84f22,Como identificar um bom argumento?,Filipe Gonçalves de Souza Nogueira da Silva,Outros,"Como identificar um bom argumento?








Filipe Gonçalves de Souza Nogueira da Silva",,,
Semana 10,9,7626f665c3e24543b00a32770e62b8fd,Você conhece as falácias?,Filipe Gonçalves de Souza Nogueira da Silva,Outros,"Você conhece as falácias?








Filipe Gonçalves de Souza Nogueira da Silva",,,
Semana 10,10,f17220cfad874f87859c8b13eabf3832,Falácias no ambiente de trabalho,Filipe Gonçalves de Souza Nogueira da Silva,Outros,"Falácias no ambiente de trabalho








Filipe Gonçalves de Souza Nogueira da Silva",,,
Semana 10,11,0e498bc1e18e4113b7c3dedb55507dcf,Pensando logicamente,Filipe Gonçalves de Souza Nogueira da Silva,Outros,"Pensando logicamente








Filipe Gonçalves de Souza Nogueira da Silva",,,
Semana 10,12,d3a50b3199ba44a0899c3a87c63d0735,Apresentação Final e Sprint Retrospective 5,26/06/2025 - 14:00h,Outros,"Apresentação Final e Sprint Retrospective 5








26/06/2025 - 14:00h",,,
Semana 10,13,ba36ff824c444f5087c91cdc56bb3d31,DESENVOLVIMENTO DO PROJETO,"Nota: 7.8

Atividade ponderada",Atividade,"DESENVOLVIMENTO DO PROJETO

Nota: 7.8

Atividade ponderada",,,
Semana 10,14,ecae9f9dd71a49dabe442e8ac0c38bc7,EXECUÇÃO DE TESTES,"Nota: 8.0

Atividade ponderada",Atividade,"EXECUÇÃO DE TESTES

Nota: 8.0

Atividade ponderada",,,
Semana 10,15,b78f58f29c0b4ae1b239c01566778274,GESTÃO DE PROJETOS EVOLUTIVA,"Nota: 5.9

Atividade ponderada",Atividade,"GESTÃO DE PROJETOS EVOLUTIVA

Nota: 5.9

Atividade ponderada",,,
Semana 10,16,f2c1cb9a5fb14231bbd2bfa771050f93,VERSÃO FINAL DO PROJETO,"Nota: 7.7

Atividade ponderada",Atividade,"VERSÃO FINAL DO PROJETO

Nota: 7.7

Atividade ponderada",,,
